@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
29,'2022/10/06 15:25:23:963',1,-1,0.878643,-0.307881,-0.116941,-0.025667,0.078601,0.070641,0.093873,-0.104342,0.072107,-0.016409,-0.008171,0.001539,0.020784,-0.027998,-0.06521,0.04268,-0.009379,-0.024618,0.043434,-0.005132,0.016246,0.038399,0.030454,1
30,'2022/10/06 15:25:23:969',1,-1,0.869198,-0.338396,-0.113816,-0.03137,0.067708,0.075339,0.106689,-0.143787,0.05871,-0.021299,-0.040161,0.010148,0.019291,-0.011638,-0.06274,0.038721,-0.007612,-0.0327,0.034007,-0.00121,0.01956,0.050792,0.01819,1
31,'2022/10/06 15:25:23:974',1,-1,0.888813,-0.335925,-0.10847,-0.026499,0.081843,0.087599,0.110134,-0.113095,0.050263,-0.01628,-0.036175,0.009878,0.054586,-0.01421,-0.064536,0.053846,-0.008906,-0.03434,0.031142,-0.004836,0.028878,0.056447,0.017837,1
32,'2022/10/06 15:25:23:987',1,-1,0.925034,-0.335454,-0.14011,-0.010443,0.090105,0.090936,0.106452,-0.095491,0.067125,0.001029,-0.044016,-0.004184,0.038732,0.000257,-0.064645,0.041313,-0.031339,-0.036498,0.036358,-0.001643,0.032573,0.056364,0.007839,1
33,'2022/10/06 15:25:23:993',1,-1,0.907888,-0.343573,-0.142116,-0.016872,0.084527,0.081557,0.099365,-0.107222,0.102516,-0.004264,-0.042205,0.012713,0.03455,0.000269,-0.069378,0.040881,-0.008059,-0.032511,0.03395,-0.000136,0.039543,0.04567,0.007552,1
34,'2022/10/06 15:25:23:998',1,-1,0.895441,-0.346386,-0.15921,-0.016529,0.072794,0.068811,0.095164,-0.124976,0.105868,-0.008945,-0.046103,0.013255,0.030234,-0.008641,-0.068647,0.029189,-0.003179,-0.045574,0.028064,-0.005411,0.032293,0.041359,-0.002346,1
35,'2022/10/06 15:25:24:004',1,-1,0.932643,-0.340971,-0.145285,0.001947,0.118813,0.082796,0.102635,-0.074431,0.094065,0.023913,-0.038124,0.005648,0.068294,-0.011375,-0.041703,0.044088,-0.015341,-0.049397,0.031133,0.006046,0.031043,0.047752,0.003051,1
36,'2022/10/06 15:25:24:009',1,-1,0.926949,-0.342455,-0.135506,0.003427,0.089319,0.082663,0.124755,-0.086123,0.094358,0.023317,-0.043335,-0.009765,0.050752,-0.013148,-0.044797,0.045613,-0.025358,-0.041258,0.047455,0.002304,0.026636,0.034619,-0.006158,1
37,'2022/10/06 15:25:24:022',1,-1,0.899112,-0.354396,-0.146932,-0.026777,0.052758,0.0786,0.078921,-0.127246,0.088624,0.015527,-0.031188,-0.028079,0.016662,-0.007451,-0.039887,0.038284,-0.031992,-0.040457,0.024218,0.006813,0.028957,0.023217,-0.001636,1
38,'2022/10/06 15:25:24:028',1,-1,0.918651,-0.321454,-0.147287,-0.012971,0.107606,0.081527,0.103855,-0.114979,0.088307,0.032551,-0.020089,-0.012356,0.022031,0.008561,-0.034243,0.038879,-0.015099,-0.033535,0.020482,0.000526,0.031713,0.027158,-0.002572,1
39,'2022/10/06 15:25:24:032',1,-1,0.926332,-0.332643,-0.12871,0.004764,0.117304,0.087864,0.12742,-0.119871,0.095299,0.04022,-0.026659,-0.003915,0.026986,0.015763,-0.045386,0.04199,-0.01224,-0.03313,0.034228,-0.001519,0.026105,0.03382,-0.010884,1
40,'2022/10/06 15:25:24:039',1,-1,0.899205,-0.355108,-0.144515,-0.00229,0.090469,0.083654,0.119307,-0.142353,0.10471,0.019788,-0.017273,-0.012396,0.007089,0.020896,-0.051151,0.055465,-0.008398,-0.024276,0.039774,0.003302,0.03488,0.035995,-0.010145,1
41,'2022/10/06 15:25:24:043',1,-1,0.890051,-0.392989,-0.166529,-0.017967,0.068843,0.07355,0.093053,-0.153493,0.088746,0.010259,-0.033267,-0.014696,0.010568,0.000422,-0.059927,0.045581,-0.012434,-0.028359,0.02709,0.005084,0.039125,0.036111,-0.005135,1
42,'2022/10/06 15:25:24:057',1,-1,0.9021,-0.369656,-0.14523,-0.009302,0.056958,0.071143,0.09288,-0.125278,0.102378,0.018409,-0.032518,-0.01641,0.024002,-0.007448,-0.054713,0.04,-0.020323,-0.03013,0.027066,-0.001357,0.032169,0.026343,-0.001702,1
43,'2022/10/06 15:25:24:062',1,-1,0.907724,-0.364265,-0.140924,-0.010075,0.085299,0.077303,0.09353,-0.112331,0.093401,0.029905,-0.024027,-0.006503,0.034771,-0.003714,-0.049248,0.048285,-0.020581,-0.033705,0.032141,-0.002194,0.028574,0.026683,-0.004672,1
44,'2022/10/06 15:25:24:067',1,-1,0.908902,-0.358201,-0.139882,0.0055,0.104068,0.07523,0.083548,-0.085221,0.086033,0.022978,0.001343,-0.01774,0.041519,0.007237,-0.047043,0.052237,-0.018605,-0.037997,0.040486,0.000839,0.032932,0.017551,0.00445,1
45,'2022/10/06 15:25:24:074',1,-1,0.87499,-0.348366,-0.170091,-0.015531,0.109089,0.041456,0.09472,-0.114694,0.086887,0.01908,-0.033274,-0.004854,0.01382,-0.00115,-0.048296,0.044861,-0.01806,-0.050569,0.038587,0.006552,0.033229,0.018454,0.008786,1
46,'2022/10/06 15:25:24:078',1,-1,0.897897,-0.325801,-0.161323,0.004305,0.117934,0.059308,0.122488,-0.121664,0.102884,0.025296,-0.037037,0.009238,0.012331,-0.004079,-0.042536,0.046966,-0.016639,-0.046526,0.040462,0.012455,0.030016,0.018276,0.011237,1
47,'2022/10/06 15:25:24:090',1,-1,0.890238,-0.320058,-0.154228,0.008208,0.094469,0.094874,0.098054,-0.108341,0.091305,0.012601,-0.014363,-0.008567,0.021833,-0.000963,-0.048983,0.051746,-0.01869,-0.063126,0.037039,0.006773,0.02786,0.027733,-0.003094,1
48,'2022/10/06 15:25:24:097',1,-1,0.903535,-0.303328,-0.169855,-0.004027,0.102537,0.08379,0.109048,-0.111626,0.088124,0.01552,-0.00616,-0.013334,0.019809,0.008168,-0.048257,0.047426,-0.011962,-0.058088,0.046526,0.000464,0.023174,0.030565,-0.014909,1
49,'2022/10/06 15:25:24:102',1,-1,0.894813,-0.317701,-0.157996,-0.014003,0.075935,0.070422,0.114256,-0.121695,0.076084,0.016514,-0.029373,-0.010295,-0.003201,-0.003694,-0.049994,0.040278,-0.014155,-0.05233,0.034311,0.016248,0.024243,0.032387,-0.010958,1
50,'2022/10/06 15:25:24:109',1,-1,0.886495,-0.342607,-0.137056,-0.033718,0.062936,0.088343,0.116873,-0.13234,0.074651,0.007509,-0.031031,0.017641,-0.016409,0.013986,-0.035625,0.033354,-0.002749,-0.04651,0.014356,0.024622,0.020562,0.021836,0.011886,1
51,'2022/10/06 15:25:24:113',1,-1,0.898692,-0.340754,-0.14468,-0.034027,0.093926,0.086361,0.125056,-0.121437,0.068317,0.015276,-0.015203,0.020695,0.000644,0.02819,-0.029336,0.028666,0.010611,-0.037726,0.017498,0.028981,0.023903,0.006565,0.016731,1
52,'2022/10/06 15:25:24:125',1,-1,0.89502,-0.273289,-0.159051,-0.041884,0.126881,0.078778,0.109828,-0.099464,0.055564,-0.006541,-0.00371,-0.008952,-0.003616,-0.001586,-0.043173,0.040565,-0.002105,-0.052866,0.036875,0.024512,0.026347,0.018742,0.008358,1
53,'2022/10/06 15:25:24:132',1,-1,0.902693,-0.289517,-0.128756,-0.042367,0.105797,0.089605,0.098724,-0.09581,0.058109,0.007682,-0.017955,0.000763,0.005973,-0.003614,-0.04896,0.042215,0.002284,-0.051202,0.041171,0.015339,0.020026,0.019968,0.004612,1
54,'2022/10/06 15:25:24:136',1,-1,0.884039,-0.291294,-0.151067,-0.022848,0.088256,0.069107,0.119881,-0.117222,0.065292,0.008679,-0.020582,0.005546,-0.003734,-0.002633,-0.053343,0.023838,-0.013558,-0.046795,0.058684,0.001953,0.032173,0.019053,0.005378,1
55,'2022/10/06 15:25:24:144',1,-1,0.891105,-0.271138,-0.154596,-0.022658,0.092739,0.077867,0.133197,-0.122218,0.070756,0.020801,-0.015144,0.010347,0.002811,-0.005675,-0.049781,0.03451,-0.017748,-0.038381,0.055224,0.007708,0.036084,0.020746,0.001594,1
56,'2022/10/06 15:25:24:149',1,-1,0.899377,-0.262117,-0.162053,-0.040726,0.113043,0.068229,0.084142,-0.116807,0.082302,0.013174,-0.025862,-0.011187,0.010533,-0.019519,-0.075505,0.02176,-0.010085,-0.046874,0.02227,0.004369,0.025472,0.012961,-0.013764,1
57,'2022/10/06 15:25:24:160',1,-1,0.943119,-0.2589,-0.153273,0.019691,0.141645,0.097951,0.089437,-0.065256,0.088986,0.024439,0.008016,0.019749,0.007991,0.006675,-0.055945,0.02827,-0.00061,-0.026847,0.030611,0.014473,0.028768,0.022747,-0.004884,1
58,'2022/10/06 15:25:24:167',1,-1,0.937598,-0.268824,-0.142217,0.039258,0.118485,0.093528,0.106967,-0.086951,0.094444,0.00793,-0.005334,0.01695,-0.010523,0.01837,-0.05932,0.039634,-0.020594,-0.028939,0.029715,0.027846,0.023988,0.034624,-0.016787,1
59,'2022/10/06 15:25:24:171',1,-1,0.910518,-0.283407,-0.17241,0.033676,0.091226,0.061205,0.105645,-0.127851,0.086081,-0.003201,-0.028544,0.000971,0.000695,0.001474,-0.053199,0.041537,-0.016074,-0.039823,0.036366,0.01627,0.019907,0.032529,-0.001856,1
60,'2022/10/06 15:25:24:184',1,-1,0.868264,-0.271399,-0.191474,-0.015887,0.095987,0.036574,0.089268,-0.116727,0.061694,-0.012449,-0.038464,-0.013202,0.002503,0.008395,-0.0807,0.031086,-0.024093,-0.036522,0.039142,0.005814,0.019054,0.041061,-0.014328,1
61,'2022/10/06 15:25:24:194',1,-1,0.916104,-0.292072,-0.16609,-0.009934,0.091522,0.07079,0.07512,-0.109691,0.04901,-0.007487,-0.021974,-0.021967,-0.007535,0.001695,-0.048609,0.002363,-0.015991,-0.042988,0.028001,0.002659,0.023041,0.020996,0.001775,1
62,'2022/10/06 15:25:24:202',1,-1,0.931877,-0.27536,-0.148994,-0.011193,0.110248,0.086684,0.093027,-0.093601,0.069783,0.007932,-0.008578,-0.000773,0.004439,0.017968,-0.041857,0.021233,-0.018934,-0.026805,0.036652,0.00687,0.030772,0.019378,0.00742,1
63,'2022/10/06 15:25:24:206',1,-1,0.964234,-0.281537,-0.158837,0.007339,0.1059,0.095173,0.100115,-0.092582,0.080551,0.013875,-0.005958,0.013055,-0.003049,0.013102,-0.033593,0.028426,-0.009746,-0.031091,0.034499,0.007931,0.028614,0.018741,0.010625,1
64,'2022/10/06 15:25:24:222',1,-1,0.929791,-0.266991,-0.193433,-0.003605,0.099562,0.049547,0.088618,-0.098369,0.055457,0.00436,-0.00343,0.008584,-0.009138,0.011015,-0.037239,0.017183,-0.003846,-0.035862,0.041995,0.005814,0.028641,0.02405,0.019581,1
